55.9736  	16.8873	   4.1267
23.9473  	39.5694	   3.84454
89.4148  	34.7977	   3.62284
64.8647  	27.2617	   3.80693
41.3426  	74.0459	   4.42338
78.3527  	23.1273	   4.27649
79.3056  	77.3255	   4.56158
19.9068  	87.2472	   4.59245
25.4133  	7.09676	   4.67236
10.1411  	57.232	   4.72375
10.8681  	76.6815	   4.67863
76.5344  	50.2129	   4.55518
39.968  	6.24116	   4.5224
52.0188  	89.6689	   4.50938
28.8119  	22.5336	   5.0698
10.9766  	33.7402	   5.13806
55.1602  	46.722	   5.36715
28.6768  	65.6643	   5.44827
90.0617  	92.3646	   5.28353
41.1252  	55.6056	   5.48323
85.6284  	7.51504	   5.25867
66.0121  	68.509	   5.27253
91.6031  	62.27	   5.34924
39.2148  	38.7545	   5.42884
69.4065  	9.64537	   5.73638
12.1155  	16.4417	   5.68532
69.8573  	90.0506	   6.28547
37.5121  	94.5552	   5.7763
92.502     76.6815	   4.67863
42.5865   25.2617	   3.80693
